timestamp,open,high,low,close,volume
2019-11-25,139.79,151.39,131.57,145.78,1452.5796
2019-11-26,146.84,149.88,143.66,147.37,282.95957
2019-11-27,147.52,155.33,140.99,152.63,1037.60794
2019-11-28,153.25,154.47,149.16,150.72,472.12819
2019-11-29,150.57,156.91,150.24,154.28,393.12481
2019-11-30,154.14,155.22,149.88,151.55,442.06175
2019-12-01,150.76,152.38,145.93,150.9,561.55426
2019-12-02,151.12,151.25,146.84,148.7,641.55738
2019-12-03,148.92,149.82,145.74,147.06,744.79843
2019-12-04,147.17,151.89,143.48,145.44,921.68088
2019-12-05,145.58,148.89,143.89,147.56,890.55461
2019-12-06,148.23,149.4,146.06,148.49,337.45329
2019-12-07,148.34,149.29,146.99,147.21,171.18076
2019-12-08,147.0,151.52,146.35,150.39,385.42813
2019-12-09,150.47,151.04,146.77,147.42,411.5247
2019-12-10,147.28,148.25,143.91,145.62,486.60485
2019-12-11,145.51,146.27,142.33,143.4,383.07693
2019-12-12,143.52,145.82,139.27,144.88,304.79891
2019-12-13,145.16,145.27,143.05,144.71,491.84718
2019-12-14,144.83,145.07,141.32,141.8,296.8864
2019-12-15,141.88,143.81,139.97,142.43,431.25341
2019-12-16,142.3,142.41,130.17,132.58,2088.51785
2019-12-17,132.7,132.87,119.94,121.98,1000.33522
2019-12-18,122.09,134.21,116.39,132.69,1427.5393
2019-12-19,133.06,134.49,125.83,128.16,687.98806
2019-12-20,128.35,129.19,125.94,128.26,190.0135
2019-12-21,128.36,128.36,126.91,127.04,79.55353
2019-12-22,127.07,133.04,126.9,132.14,620.86477
2019-12-23,132.66,135.14,126.36,128.21,311.06964
2019-12-24,127.91,129.69,126.85,127.87,196.16299
2019-12-25,127.87,127.87,123.64,125.08,181.1896
2019-12-26,125.08,131.99,124.54,125.61,267.52029
2019-12-27,125.47,126.89,123.0,126.26,180.92747
2019-12-28,126.92,129.53,126.85,128.49,88.33989
2019-12-29,127.95,137.86,127.88,135.07,219.23223
2019-12-30,133.79,136.21,130.42,131.51,365.35289
2019-12-31,131.52,133.29,128.28,129.25,526.84437
2020-01-01,128.93,132.93,128.82,130.52,419.85641
2020-01-02,130.42,130.53,126.66,127.22,298.29122
2020-01-03,127.08,134.88,126.06,133.95,513.53291
2020-01-04,134.79,135.83,132.68,134.02,87.49993
2020-01-05,134.84,138.51,134.39,135.23,275.28558
2020-01-06,135.24,144.52,135.24,143.98,624.32469
2020-01-07,144.55,145.4,138.99,142.89,1476.11643
2020-01-08,142.94,147.78,137.55,140.89,710.02555
2020-01-09,140.51,141.36,135.63,138.08,510.43894
2020-01-10,137.71,144.85,135.59,144.32,1092.59512
2020-01-11,144.24,147.69,142.15,142.74,296.22261
2020-01-12,142.01,146.12,141.96,146.07,250.31463
2020-01-13,146.32,147.07,142.55,143.9,424.57906
2020-01-14,143.5,170.85,143.5,166.38,3495.88198
